40.7846358300057, -73.9698529243469;496,""
40.7850907475526, -73.9710330963135;497,""
40.7857649946135, -73.9727389812469;498,""
40.7864960981486, -73.9721596240997;499,""
40.7852857112617, -73.9693486690521;500,""
40.7844571115454, -73.9672243595123;501,""
40.7834010380993, -73.9643812179565;502,""
40.7820687368741, -73.9633512496948;503,""
40.7813375846005, -73.9624071121216;504,""
40.7802489651918, -73.9613771438599;505,""
40.7808338972411, -73.9609265327454;506,Neue Galerie
40.7814513199272, -73.9604115486145;507,Neue Galerie
40.7795177928866, -73.9618921279907;508,The Metropolitan Museum of Art
40.7789166007396, -73.9623212814331;509,The Metropolitan Museum of Art
40.7782829058297, -73.9627289772034;510,The Metropolitan Museum of Art
40.7815650550592, -73.9713764190674;511,""
40.780622672373, -73.9717197418213;512,""
40.779940248978, -73.9710760116577;513,""
40.7791928248342, -73.9691877365112;514,Belvedere Castle
40.7781691650778, -73.9666342735291;515,""
40.7777954440931, -73.9648962020874;516,""
40.7769505019428, -73.9637589454651;517,""
40.769784310509, -73.9745950698853;518,Central Park Carousel
40.7686792507596, -73.971848487854;519,Central Park Zoo
40.7680129558538, -73.9702391624451;520,Central Park Zoo
40.7673954082684, -73.9707326889038;521,Central Park Zoo
40.7666803459999, -73.9712905883789;522,Central Park Zoo
40.763624993274, -73.9734363555908;523,""
40.763941911389, -73.9741337299347;524,""
40.764543239043, -73.973640203476;525,""
40.7649089086048, -73.9725244045258;526,""
40.7642588279929, -73.9730179309845;527,""
40.7649982941917, -73.9766979217529;528,""
40.7656808710726, -73.9763224124908;529,""
40.7662009249431, -73.9795303344727;530,""
40.7668184836286, -73.979058265686;531,""
40.7673385285969, -73.9801847934723;532,""
40.7661927991327, -73.9774060249329;533,""
40.7655183534035, -73.9779961109161;534,""
40.7650958056039, -73.9748311042786;535,The Plaza Hotel
40.7643888446239, -73.9752388000488;536,The Plaza Hotel
40.7654614721254, -73.9721059799194;537,The Piere, A Taj Hotel
40.7638931548543, -73.9721703529358;538,Apple Fifth Avenue
40.7632999474836, -73.9726638793945;539,Apple Fifth Avenue
40.7635599842431, -73.9714193344116;540,Apple Fifth Avenue
40.7629586476928, -73.9718914031982;541,Apple Fifth Avenue
40.7642100716906, -73.9709687232971;542,""
40.7648276488761, -73.9704859256744;543,""
40.7661684216955, -73.9716982841492;544,""
40.7654452203228, -73.9700245857239;545,""
40.7645594910663, -73.9717304706573;546,Avra Madison Restaurant
40.7651039315485, -73.9712262153625;547,""
40.7658190107789, -73.9708721637726;548,""
40.766070911857, -73.9695632457733;549,""
40.7666722202481, -73.969144821167;550,""
40.7672979002303, -73.9686620235443;551,""
40.7686304977004, -73.9697992801666;552,""
40.767947951115, -73.9682006835938;553,""
40.7670541295091, -73.9699709415436;554,Consulate General of India
40.7677123084041, -73.9695310592651;555,Consulate General of India
40.7663796925212, -73.9702928066254;556,""
40.768281099729, -73.968962430954;557,Lotos Club
40.7693049118452, -73.9693593978882;558,Lotos Club
40.7685817446054, -73.9677286148071;559,Lotos Club
40.769865564177, -73.9689302444458;560,Lotos Club
40.7691830302776, -73.9672780036926;561,Lotos Club
40.7705074646615, -73.9684474468231;562,Consulate General of Indonesia
40.7698168119881, -73.9667952060699;563,Consulate General of Indonesia
40.7711168581177, -73.9680075645447;564,""
40.7704749635202, -73.9663660526276;565,Laduree Restaurant
40.771726245985, -73.9675354957581;566,The Frick Collection Museum
40.7553480197609, -73.977438211441;567,J.P. Morgan
40.7559738063485, -73.9769661426544;568,J.P. Morgan
40.7556080876295, -73.9760541915894;569,J.P. Morgan
40.75498636119, -73.9765048027039;570,J.P. Morgan
40.7547181636761, -73.9759254455566;571,Pernod Ricard USA
40.7553398926236, -73.975458741188;572,""
40.7552504940479, -73.9752388000488;573,""
40.7546409551003, -73.9756894111633;574,""
40.7540192196165, -73.9741712808609;575,""
40.7545962553575, -73.9737260341644;576,""
40.7537103815286, -73.9734846353531;577,Grand Central Library
40.754295547216, -73.9729857444763;578,Grand Central Library
40.753308077131, -73.9725995063782;579,Sparks Steak House
40.7526700742566, -73.9730393886566;580,Sparks Steak House
40.7520401928018, -73.9734899997711;581,""
40.7514265606141, -73.9739567041397;582,""
40.751093327517, -73.9712584018707;583,""
40.7505000059175, -73.9717036485672;584,""
40.7498091453292, -73.9721918106079;585,""
40.7497156754042, -73.9740800857544;586,""
40.7491629809886, -73.9727067947388;587,""
40.7485330663106, -73.9731466770172;588,""
40.7491020217644, -73.974541425705;589,""
40.7494921598335, -73.9753782749176;590,""
40.750101745984, -73.9769661426544;591,""
40.7495246712359, -73.977427482605;592,""
40.7488663122384, -73.9758288860321;593,""
40.7488663122384, -73.9778566360474;594,""
40.7482810987687, -73.9783716201782;595,""
40.74822420274, -73.9763116836548;596,""
40.7476227274592, -73.9767515659332;597,""
40.7484924264491, -73.9749813079834;598,""
40.7478584413932, -73.9754211902618;599,""
40.7472813471771, -73.9758610725403;600,""
40.747907209689, -73.9736080169678;601,Tuttles Restaurant
40.7472976034208, -73.9740586280823;602,""
40.7466961197592, -73.9744663238525;603,""
40.7463140935276, -73.9736187458038;604,""
40.7469318369775, -73.9731895923615;605,""
40.7475414465986, -73.9727389812469;606,""
40.7481510506316, -73.9723205566406;607,""
40.7483867626928, -73.9709579944611;608,""
40.7490776380591, -73.9704859256744;609,""
40.749727867141, -73.9699816703796;610,""
40.7517028989889, -73.970764875412;611,""
40.752344974896, -73.9703357219696;612,Vanderbilt YMCA
40.7529789171769, -73.969874382019;613,Vanderbilt YMCA
40.7539623284976, -73.9721596240997;614,Vanderbilt YMCA
40.7535965987136, -73.9694130420685;615,""
40.754571873667, -73.9716768264771;616,""
40.7552220490213, -73.9733076095581;617,Intercontinental New York Barclay Hotel
40.7558397097184, -73.9728355407715;618,Intercontinental New York Barclay Hotel
40.7558722180172, -73.9747667312622;619,Intercontinental New York Barclay Hotel
40.7565264441512, -73.9744448661804;620,Intercontinental New York Barclay Hotel
40.7566117775201, -73.976526260376;621,Saks Fifth Avenue
40.7571969176705, -73.9760327339172;622,Saks Fifth Avenue
40.7578633210133, -73.975625038147;623,St. Patrick's Cathedral
40.7584972106763, -73.9751636981964;624,St. Patrick's Cathedral
40.7571725369338, -73.9739942550659;625,St. Bartholomew's Church
40.7577983063471, -73.9735758304596;626,St. Bartholomew's Church
40.7584078163464, -73.9730823040009;627,Blackstone Group LP
40.7590091940684, -73.9726209640503;628,Black Rock
40.7596593260263, -73.97221326828;629,The Monkwy Bar
40.7597080856668, -73.9742410182953;630,The Monkwy Bar
40.7603175781553, -73.9737689495087;631,The Monkwy Bar
40.7610164559973, -73.9733290672302;632,""
40.7602931985631, -73.9716875553131;633,""
40.761625936489, -73.9728569984436;634,""
40.7622679165632, -73.9723634719849;635,""
40.7609351915095, -73.9712262153625;636,""
40.7616015573766, -73.9707326889038;637,""
40.7602688189619, -73.9696598052979;638,BLT Steak
40.7609026856866, -73.969144821167;639,BLT Steak
40.7596268195794, -73.9700675010681;640,Little Collins Cafe
40.7622272850968, -73.970228433609;641,""
40.762861133145, -73.9697885513306;642,""
40.7634543444322, -73.96932721138;643,""
40.7615853046301, -73.9686512947083;644,""
